statement,fact_confidence,classify_confidence,authentication_confidence,label_prediction,label
"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",NaN,0.85,NaN,False,True
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,NaN,0.95,NaN,False,False
Proximity to high-voltage power lines lowers property values by as much as 30 percent.,NaN,0.8,NaN,False,False
What the facts say is ...the best scenario for kids is a loving mom and dad.,NaN,0.8,NaN,False,False
Says Mark Neumann = Nancy Pelosi,NaN,1.0,NaN,False,False
"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",NaN,0.85,NaN,True,False
Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,NaN,0.95,NaN,False,False
Rebuilding three high schools will benefit 40 percent of Portland Public School students.,NaN,0.85,NaN,True,False
Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,NaN,0.95,NaN,True,False
Providence has the lowest crime rate in three decades.,NaN,0.85,NaN,True,True
On banning earmarks.,NaN,0.7,NaN,False,False
Says hes taken an 8% pay decrease in each of the nine years he has been in office.,NaN,0.95,NaN,False,False
1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,NaN,0.9,NaN,True,False
The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,NaN,0.9,NaN,False,False
The Texas Department of Transportation... misplaced a billion dollars.,NaN,0.9,NaN,False,True
A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,NaN,0.98,NaN,False,False
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",NaN,0.9,NaN,False,True
"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",NaN,0.85,NaN,True,False
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",NaN,0.8,NaN,True,True
Taxpayers subsidize 80 percent of each MARTA trip,NaN,0.85,NaN,True,False
"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",NaN,0.95,NaN,False,False
Says Milken Institute rated San Antonio as nations top-performing local economy.,NaN,0.95,NaN,False,True
Says people in Africa literally walk two and three hundred miles in order to vote.,NaN,0.98,NaN,False,False
"Before World War II, very few people actually had health insurance.",NaN,0.98,NaN,True,True
Half of children struck by cars near schools are hit by parents driving children to school.,NaN,0.85,NaN,False,False
"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",NaN,0.95,NaN,True,False
Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants.,NaN,0.97,NaN,False,False
Putting three Republicans in my Cabinet...is unprecedented.,NaN,0.95,NaN,False,True
"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",NaN,0.9,NaN,True,False
"From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.",NaN,0.93,NaN,True,True
"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",NaN,0.95,NaN,True,True
"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",NaN,0.95,NaN,True,True
Muslim nations did not call out the people who celebrated the 9/11 attacks.,NaN,0.95,NaN,False,False
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",NaN,0.9,NaN,True,False
"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",NaN,1.0,NaN,False,False
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,NaN,0.95,NaN,True,True
"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",NaN,0.85,NaN,False,False
Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina.,NaN,0.95,NaN,False,False
"Says U.S. Sen. Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.",NaN,0.85,NaN,False,True
Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,NaN,0.98,NaN,True,True
More (student-athletes) graduate than the students who arent student-athletes.,NaN,0.95,NaN,True,False
U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,NaN,0.95,NaN,False,False
"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",NaN,0.9,NaN,True,False
Says Mitt Romney flip-flopped on an assault weapons ban.,NaN,0.95,NaN,True,False
"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.",NaN,0.95,NaN,False,False
Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,NaN,0.95,NaN,False,False
"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",NaN,0.85,NaN,False,False
President Obama has the lowest public approval ratings of any president in modern times.,NaN,0.95,NaN,False,False
"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.",NaN,0.97,NaN,False,False
On an income cap for recipients of the popular HOPE scholarship,NaN,0.9,NaN,False,False
Wisconsin is dead last in the Midwest for job creation.,NaN,0.85,NaN,False,True
On running a civil and polite campaign.,NaN,0.5,NaN,False,False
"Says President Barack Obama has taken 92 days of vacation since he was sworn in, compared to 367 for President George W. Bush at the same point in his presidency.",NaN,0.95,NaN,True,True
"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",NaN,0.95,NaN,True,False
Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,NaN,0.9,NaN,True,True
Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car.,NaN,1.0,NaN,True,True
Many of the founding fathers were very actively involved in cockfighting.,NaN,0.9,NaN,False,False
Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,NaN,0.95,NaN,False,False
The majority of people travelling to these destination resorts are not going for the primary purpose of gambling.,NaN,0.8,NaN,True,False
Says Bill Nelson voted 98 percent of the time with Barack Obama.,NaN,0.9,NaN,True,True
I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,NaN,0.95,NaN,False,False
"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",NaN,0.85,NaN,True,True
"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no.",NaN,0.95,NaN,True,True
I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,NaN,0.9,NaN,False,False
Virginia has made no progress on jobs since Bob McDonnell took office.,NaN,0.95,NaN,False,False
The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,NaN,0.95,NaN,True,False
"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",NaN,0.9,NaN,True,True
Ronald Reagan raised the national debt 18 times.,NaN,0.95,NaN,True,True
On whether global warming is man-made.,NaN,1.0,NaN,True,False
The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,NaN,0.92,NaN,True,True
"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.",NaN,0.8,NaN,False,True
Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,NaN,0.9,NaN,True,False
"When the union says I want to eliminate tenure, thats not true.",NaN,0.9,NaN,True,False
Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,NaN,0.95,NaN,False,False
Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.,NaN,0.85,NaN,False,False
Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.,NaN,0.8,NaN,True,True
Social Security has nothing to do with the federal deficit.,NaN,0.95,NaN,False,False
About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,NaN,0.95,NaN,True,False
On pay for fired Milwaukee police officers,NaN,0.7,NaN,False,False
Texas is the state that has now gone the longest without electing a Democrat statewide.,NaN,0.95,NaN,True,True
Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers.,NaN,0.95,NaN,True,False
"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",NaN,0.8,NaN,False,True
"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",NaN,0.98,NaN,False,False
The United States has the longest surviving constitution.,NaN,0.98,NaN,True,True
"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.",NaN,0.95,NaN,True,True
Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district.,NaN,0.85,NaN,False,False
Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,NaN,0.9,NaN,True,False
NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,NaN,0.98,NaN,False,False
The University of Wisconsin System is larger than any business in the state of Wisconsin.,NaN,0.95,NaN,False,True
There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,NaN,0.95,NaN,False,False
"Mark Herring voted to allow sex offenders, including rapists, to serve shorter sentences.",NaN,0.9,NaN,False,False
Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.,NaN,0.85,NaN,False,True
Says states mandated tests come from an English company.,NaN,0.85,NaN,False,True
Says he got twice as much money from the sale of County Grounds land than Milwaukee County Executive Scott Walker was willing to accept.,NaN,0.9,NaN,True,False
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",NaN,0.95,NaN,False,False
On the Bush tax cuts.,NaN,0.1,NaN,False,False
Over half of the black workers in this country earn less than $15 an hour.,NaN,0.85,NaN,True,True
"Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.",NaN,0.8,NaN,False,False
Sixteen million jobs were created under Ronald Reagans presidency.,NaN,0.9,NaN,True,True
This would be the largest casino in the United States.,NaN,0.9,NaN,False,False
"Barack Obama's health care plan ""will cost taxpayers $1,700 more to cover each new person.""",NaN,0.9,NaN,False,False
Barack Obama ... 96 percent of his votes have been solely along party line.,NaN,0.95,NaN,False,True
President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses.,NaN,0.85,NaN,True,False
"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",NaN,0.9,NaN,False,True
Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,NaN,0.95,NaN,False,True
Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,NaN,0.85,NaN,False,True
Eighty-five percent of the states in the United States that had electrocution have now abolished it.,NaN,0.85,NaN,True,True
"Says that each year, about 25,000 American women become pregnant through rape or incest.",NaN,0.9,NaN,True,False
"Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.",NaN,0.85,NaN,False,False
"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",NaN,0.8,NaN,True,False
I can tell you with certainty (capandtrade)would have a devastating impact on our economy.,NaN,0.9,NaN,False,False
Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,NaN,0.9,NaN,True,True
Mitt Romney left Massachusetts $1 billion in debt.,NaN,0.95,NaN,False,False
Says Barack Obama promised he would cut the deficit in half but didnt.,NaN,0.95,NaN,True,True
Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two.,NaN,0.85,NaN,True,True
Says Denmarks suicide rate has been about twice as high as the United States over the past five decades.,NaN,0.85,NaN,True,False
"China has total control, just about, of North Korea.",NaN,0.95,NaN,False,False
The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.,NaN,0.95,NaN,False,False
The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.,NaN,0.9,NaN,False,False
"Since the first of the year, 153 businesses at last count had moved out of California to Texas.",NaN,0.8,NaN,False,False
Barack Obama has provided guns to Mexican drug cartels.,NaN,0.95,NaN,False,False
"Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12,000 in campaign contributions from people affiliated with the service.",NaN,0.85,NaN,True,False
Health care premiums for consumers have doubled since 2001.,NaN,0.95,NaN,True,True
"Says, Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.",NaN,0.95,NaN,True,True
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",NaN,0.9,NaN,False,False
"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",NaN,0.85,NaN,False,False
"Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.",NaN,0.85,NaN,False,False
Says Rick Perry recently said he wanted another (Texas) business tax.,NaN,0.95,NaN,False,False
"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.",NaN,0.9,NaN,True,True
"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",NaN,0.85,NaN,True,False
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,NaN,0.85,NaN,True,False
"Says 315,000 mostly minority Texas students are enrolled in failing schools.",NaN,0.85,NaN,True,True
"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.",NaN,1.0,NaN,False,False
Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,NaN,0.9,NaN,False,False
...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted yes (on the Iran nuclear deal).,NaN,0.85,NaN,False,False
"If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.",NaN,0.95,NaN,False,False
Loranne Ausley voted six times to tax your savings.,NaN,0.91,NaN,False,False
Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,NaN,0.9,NaN,False,False
The president campaigned against this type of legislation.,NaN,0.3,NaN,False,True
One in every three women has an abortion during her lifetime.,NaN,0.85,NaN,False,False
"Barack Obama ""is more to the left of the announced Socialist in the United States Senate.""",NaN,0.95,NaN,False,False
What president has the worst record on female labor force participation? Barack Obama.,NaN,0.85,NaN,False,False
Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago.,NaN,0.95,NaN,False,False
The Social Security trust fund is already facing imminent bankruptcy.,NaN,0.95,NaN,False,False
"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them.",NaN,0.93,NaN,False,False
America is No. 1 in wind power.,NaN,0.95,NaN,False,True
"The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.",NaN,0.85,NaN,False,False
I said no to these big bank bailouts.,NaN,0.7,NaN,False,True
People have a constitutional right to have semiautomatic rifles.,NaN,0.85,NaN,False,True
"This budget also reflects the smallest state government workforce per 1,000 residents in Florida in this century.",NaN,0.9,NaN,True,True
"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",NaN,0.95,NaN,True,True
Property taxes have increased 20 percent under four years of Chris Christie.,NaN,0.85,NaN,False,True
"When it comes to income taxes, Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners.",NaN,0.8,NaN,True,True
ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,NaN,0.95,NaN,False,False
"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",NaN,0.85,NaN,False,False
On his half pay pledge.,NaN,0.2,NaN,False,False
"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",NaN,0.9,NaN,False,False
The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.,NaN,0.85,NaN,False,True
Gov. Rick Scott backed the federal shutdown.,NaN,0.9,NaN,False,False
"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",NaN,0.85,NaN,False,True
"As weve seen that federal support for states diminish, youve seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.",NaN,0.88,NaN,True,True
"Says New START, passed while Clinton was secretary of state, is a treaty cutting Russias nuclear arms.",NaN,0.95,NaN,False,False
Says his free public university tuition program is paid for by a tax on Wall Streets speculation.,NaN,0.95,NaN,True,False
Ohio ranks 46th in the country in putting dollars in the classroom.,NaN,0.85,NaN,False,True
"Under a Wisconsin bill, minor offenses such as violating pet leash laws, seat belt laws, parking infractions, etc., would now be arrestable offenses.",NaN,0.95,NaN,True,False
"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",NaN,0.85,NaN,False,False
Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,NaN,0.95,NaN,False,False
"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.",NaN,0.85,NaN,False,False
"Over the last several months, there was a review board headed by two distinguished Americans, Mike Mullen and Tom Pickering, who investigated every element of the Benghazi incident.",NaN,0.98,NaN,True,False
"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",NaN,0.9,NaN,False,True
Georgia and other states with weak gun laws have more crime.,NaN,0.85,NaN,True,True
Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.,NaN,0.9,NaN,False,False
"Among Hispanics, support for immigration reform is close to universal.",NaN,0.85,NaN,False,True
Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down. Its false advertising.,NaN,0.9,NaN,True,False
Wages adjusted for inflation havent risen since the turn of the last century.,NaN,0.95,NaN,False,False
Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,NaN,0.95,NaN,False,False
There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline.,NaN,0.95,NaN,False,False
Weve brought trade cases against China at nearly twice the rate as the last administration.,NaN,0.9,NaN,True,False
"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.",NaN,0.85,NaN,False,True
"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",NaN,0.95,NaN,True,True
Obama said he would unilaterally renegotiate the North American Free Trade Agreement.,NaN,0.9,NaN,False,True
"In the 513 days between Trayvon dying, and todays verdict, 11,106 African-Americans have been murdered by other African-Americans.",NaN,0.85,NaN,False,False
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,NaN,0.85,NaN,False,False
"He received ""A"" ratings from ""every conservative organization that gives ratings.""",NaN,0.9,NaN,False,True
"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.",NaN,0.85,NaN,True,True
Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.,NaN,0.85,NaN,True,False
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' ",NaN,0.95,NaN,True,False
Two-thirds of Wisconsin corporations dont pay state income taxes.,NaN,0.85,NaN,True,True
There are literally teachers now who are getting pink slips because of sequestration.,NaN,0.85,NaN,False,False
Obamacare ... will kill jobs across America.,NaN,0.95,NaN,False,False
"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",NaN,0.9,NaN,False,True
On federal stimulus money for expanding rail service.,NaN,0.6,NaN,False,True
"About 106,000 soldiers had a prescription of three weeks or more for pain, depression or anxiety medication.",NaN,0.85,NaN,True,True
Georgia loses millions of dollars of revenue because people go out of state to buy fireworks.,NaN,0.85,NaN,False,True
