statement,authen_confidence,label
"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",0.9,False
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",0.95,True
Taxpayers subsidize 80 percent of each MARTA trip,0.9,False
"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",0.3,False
Says Milken Institute rated San Antonio as nations top-performing local economy.,1.0,True
Says people in Africa literally walk two and three hundred miles in order to vote.,0.7,False
"Before World War II, very few people actually had health insurance.",0.7,True
Half of children struck by cars near schools are hit by parents driving children to school.,0.2,False
"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",1.0,False
Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants.,0.85,False
Putting three Republicans in my Cabinet...is unprecedented.,1.0,True
"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",0.8,False
"From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.",0.95,True
"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",0.8,True
"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",1.0,True
Muslim nations did not call out the people who celebrated the 9/11 attacks.,0.95,False
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",0.8,False
"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",0.95,False
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,1.0,True
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",1.0,True
"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",1.0,False
Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,1.0,False
Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina.,1.0,False
"Says U.S. Sen. Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.",0.95,True
Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,0.85,True
More (student-athletes) graduate than the students who arent student-athletes.,0.95,False
U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,1.0,False
"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",1.0,False
Says Mitt Romney flip-flopped on an assault weapons ban.,0.9,False
"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.",0.7,False
Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,1.0,False
"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",0.4,False
President Obama has the lowest public approval ratings of any president in modern times.,1.0,False
"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.",1.0,False
On an income cap for recipients of the popular HOPE scholarship,1.0,False
Wisconsin is dead last in the Midwest for job creation.,0.95,True
On running a civil and polite campaign.,0.7,False
"Says President Barack Obama has taken 92 days of vacation since he was sworn in, compared to 367 for President George W. Bush at the same point in his presidency.",1.0,True
"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",1.0,False
Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,1.0,True
"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.",0.9,False
Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car.,0.95,True
Many of the founding fathers were very actively involved in cockfighting.,0.6,False
Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,0.3,False
The majority of people travelling to these destination resorts are not going for the primary purpose of gambling.,1.0,False
Says Bill Nelson voted 98 percent of the time with Barack Obama.,0.95,True
I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,1.0,False
"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",0.7,True
"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no.",0.7,True
I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,0.85,False
Virginia has made no progress on jobs since Bob McDonnell took office.,0.8,False
The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,0.8,False
"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",0.95,True
Ronald Reagan raised the national debt 18 times.,0.7,True
On whether global warming is man-made.,1.0,False
The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,1.0,True
"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.",0.9,True
Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,1.0,False
"When the union says I want to eliminate tenure, thats not true.",0.95,False
Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,0.7,False
Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.,1.0,False
Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.,1.0,True
Social Security has nothing to do with the federal deficit.,1.0,False
About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,1.0,False
On pay for fired Milwaukee police officers,1.0,False
Texas is the state that has now gone the longest without electing a Democrat statewide.,0.9,True
Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers.,0.95,False
"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",1.0,True
"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",0.2,False
The United States has the longest surviving constitution.,0.95,True
"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.",0.85,True
Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district.,0.8,False
Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,1.0,False
NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,0.95,False
The University of Wisconsin System is larger than any business in the state of Wisconsin.,1.0,True
There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,1.0,False
"Mark Herring voted to allow sex offenders, including rapists, to serve shorter sentences.",1.0,False
Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.,1.0,True
Says states mandated tests come from an English company.,0.7,True
Says he got twice as much money from the sale of County Grounds land than Milwaukee County Executive Scott Walker was willing to accept.,0.7,False
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",1.0,False
On the Bush tax cuts.,1.0,False
Over half of the black workers in this country earn less than $15 an hour.,1.0,True
"Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.",0.95,False
Sixteen million jobs were created under Ronald Reagans presidency.,0.8,True
This would be the largest casino in the United States.,0.5,False
"Barack Obama's health care plan ""will cost taxpayers $1,700 more to cover each new person.""",1.0,False
Barack Obama ... 96 percent of his votes have been solely along party line.,0.95,True
President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses.,0.9,False
"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",0.7,True
Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,1.0,True
Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,1.0,True
Eighty-five percent of the states in the United States that had electrocution have now abolished it.,0.95,True
"Says that each year, about 25,000 American women become pregnant through rape or incest.",1.0,False
"Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.",0.8,False
"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",0.7,False
I can tell you with certainty (capandtrade)would have a devastating impact on our economy.,1.0,False
Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,0.9,True
Mitt Romney left Massachusetts $1 billion in debt.,0.5,False
Says Barack Obama promised he would cut the deficit in half but didnt.,0.6,True
Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two.,0.9,True
Says Denmarks suicide rate has been about twice as high as the United States over the past five decades.,0.1,False
"China has total control, just about, of North Korea.",0.9,False
The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.,1.0,False
The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.,0.2,False
"Since the first of the year, 153 businesses at last count had moved out of California to Texas.",1.0,False
Barack Obama has provided guns to Mexican drug cartels.,1.0,False
"Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12,000 in campaign contributions from people affiliated with the service.",1.0,False
Health care premiums for consumers have doubled since 2001.,1.0,True
"Says, Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.",1.0,True
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",1.0,False
"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",1.0,False
"Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.",0.8,False
Says Rick Perry recently said he wanted another (Texas) business tax.,0.95,False
"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.",0.6,True
"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",1.0,False
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,0.9,False
"Says 315,000 mostly minority Texas students are enrolled in failing schools.",0.95,True
"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.",0.9,False
Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,1.0,False
...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted yes (on the Iran nuclear deal).,0.85,False
"If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.",1.0,False
Loranne Ausley voted six times to tax your savings.,0.7,False
Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,1.0,False
The president campaigned against this type of legislation.,1.0,True
One in every three women has an abortion during her lifetime.,1.0,False
"Barack Obama ""is more to the left of the announced Socialist in the United States Senate.""",1.0,False
What president has the worst record on female labor force participation? Barack Obama.,0.95,False
Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago.,0.8,False
The Social Security trust fund is already facing imminent bankruptcy.,1.0,False
"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them.",0.95,False
America is No. 1 in wind power.,1.0,True
"The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.",0.2,False
I said no to these big bank bailouts.,0.95,True
People have a constitutional right to have semiautomatic rifles.,1.0,True
"This budget also reflects the smallest state government workforce per 1,000 residents in Florida in this century.",1.0,True
"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",0.8,True
Property taxes have increased 20 percent under four years of Chris Christie.,1.0,True
"When it comes to income taxes, Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners.",1.0,True
ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,1.0,False
"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",0.95,False
On his half pay pledge.,0.95,False
"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",0.8,False
The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.,0.8,True
Gov. Rick Scott backed the federal shutdown.,0.95,False
"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",1.0,True
"As weve seen that federal support for states diminish, youve seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.",1.0,True
"Says New START, passed while Clinton was secretary of state, is a treaty cutting Russias nuclear arms.",1.0,False
Says his free public university tuition program is paid for by a tax on Wall Streets speculation.,1.0,False
Ohio ranks 46th in the country in putting dollars in the classroom.,1.0,True
"Under a Wisconsin bill, minor offenses such as violating pet leash laws, seat belt laws, parking infractions, etc., would now be arrestable offenses.",0.95,False
"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",1.0,False
Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,1.0,False
"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.",0.95,False
"Over the last several months, there was a review board headed by two distinguished Americans, Mike Mullen and Tom Pickering, who investigated every element of the Benghazi incident.",1.0,False
"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",1.0,True
Georgia and other states with weak gun laws have more crime.,1.0,True
Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.,1.0,False
"Among Hispanics, support for immigration reform is close to universal.",1.0,True
Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down. Its false advertising.,1.0,False
Wages adjusted for inflation havent risen since the turn of the last century.,1.0,False
Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,1.0,False
There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline.,1.0,False
Weve brought trade cases against China at nearly twice the rate as the last administration.,0.7,False
"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.",0.3,True
"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",0.9,True
Obama said he would unilaterally renegotiate the North American Free Trade Agreement.,1.0,True
"In the 513 days between Trayvon dying, and todays verdict, 11,106 African-Americans have been murdered by other African-Americans.",0.1,False
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,0.8,False
"He received ""A"" ratings from ""every conservative organization that gives ratings.""",1.0,True
"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.",1.0,True
Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.,0.7,False
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' ",0.9,False
Two-thirds of Wisconsin corporations dont pay state income taxes.,0.95,True
There are literally teachers now who are getting pink slips because of sequestration.,1.0,False
Obamacare ... will kill jobs across America.,0.95,False
"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",0.7,True
On federal stimulus money for expanding rail service.,1.0,True
"About 106,000 soldiers had a prescription of three weeks or more for pain, depression or anxiety medication.",0.95,True
Georgia loses millions of dollars of revenue because people go out of state to buy fireworks.,1.0,True
"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.",0.9,False
John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.,0.9,True
"Says that in 2015, illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.",0.95,True
"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",0.95,True
"Says his bill, HB 97, would prevent the use of taxpayer dollars on abortions.",0.6,False
The average Atlanta resident spends an extra $924 each year in additional gasoline and wasted time.,0.8,True
Federal health care reforms amounted to the government takeover of health care.,1.0,False
Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.,1.0,False
Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,1.0,False
"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",0.7,False
"6,400 Ohioans ... lost manufacturing jobs in the month of September.",1.0,True
Mitch McConnell voted with Harry Reid to infringe on our gun rights.,0.6,False
Says Ron Johnson gave himself a $10 million sweetheart corporate payout,1.0,False
"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.",1.0,False
"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.",0.8,False
Says House Democrats voted to use your tax dollars for abortions by voting against bill defunding Planned Parenthood.,0.9,False
We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.,1.0,False
It is already in the law that there is a requirement to screen (refugees) for religion.,0.95,True
"At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic.",1.0,False
"I did very well with young people in Ohio, Massachusetts, California.",1.0,False
"Health care reform ""would bring down the deficit by as much as $1 trillion over the next two decades.""",1.0,False
"McCain ""has opposed stem cell research.""",1.0,False
Austin has more lobbyists working for it than any other municipality in Texas.,0.9,True
"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",1.0,False
"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.",0.2,False
On whether the government should bail out insurance giant AIG.,1.0,False
The Cleveland police has issued a stand down order to officers.,0.95,False
"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",0.95,True
We already pay the highest electricity prices in the country here in New England.,0.9,False
We're going to have more troops (in Afghanistan) . . . than the Russians had.,0.9,False
Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.,0.8,False
Florida is investing record amounts of funding for HIV/AIDS prevention.,1.0,False
There's only four senators senior to me ... there's still 44 older than me.,1.0,True
"All four on Mount Rushmore, they were all independents at one critical point in their career.",1.0,False
We didnt go out asking people to join the stand your ground task force.,1.0,False
Rhode Islands exports have increased by 53 percent in the last two years.,0.8,True
Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,0.3,False
"Mitt Romney boasts that he is ""proud to be the only major candidate for president to sign the tax pledge. The others have not.""",1.0,True
"More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",0.7,False
"Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac ""than any other member of Congress, except for the Democratic chairmen of the committee that oversees them.""",0.95,True
I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City. -,0.7,False
"A planning group said that to meet anticipated traffic demands by 2035, Interstate 35 between Austin and Round Rock will need a dozen additional lanes going north and 14 additional southbound lanes.",0.9,False
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority.,0.95,False
The United States is the only developed country in the world without paid maternity leave.,1.0,True
A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.,0.7,True
Rhode Islands unemployment insurance system is the most expensive such system in the country.,0.95,False
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",0.7,True
"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",1.0,True
"The United States spends $2.2 billion on free cell phones, $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama.",1.0,False
The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,1.0,False
The transportation package passed by the General Assembly would impose the largest tax increase in Virginias history.,1.0,False
My home state since June of 2009 created 40 percent of the new jobs in America.,1.0,True
"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.",0.95,False
"As governor of Florida, I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.",0.95,False
"Says last year 13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each.",1.0,False
Says his state budget will provide an increase in state funding for the 2011-12 school year.,1.0,True
"Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.",1.0,False
Sayvideo shows massive alligator strolling across Florida golf course.,0.2,True
On whether people can keep their insurance under the Affordable Care Act.,1.0,False
