statement,fact_confidence
This is the first time in the history that weve had the raising of a debt limit also with spending cuts.,0.2
"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq.",0.9
Kelly Ayotte voted for a budget that had $90 billion of cuts to Pell Grants.,0.3
Says U.S. Rep. Connie Mack IV passed only one bill in seven years.,1.0
Republican-leaning states get more in federal dollars than they pay in taxes.,0.9
"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war.""",0.5
Says President Barack Obama is a socialist.,0.2
Wisconsin was literally broke when Republicans took office in January 2011.,0.0
"About two-thirds of Medicaid beneficiaries are children, but they account for one-third of the programs cost, while one-third are elderly, and they account for two-thirds of the cost.",1.0
Says Tom Cottons vote in Congress to change Medicare will increase out-of-pocket expenses for every senior in Arkansas.,0.3
"Says the Obama administration approved a major disaster declaration for Oklahoma in 2009, when nine of the states 77 counties burned for about three days, while Texas wildfires have been burning for longer without such a declaration.",1.0
Our campaign depends on small donations for the majority of our support.,0.6
"Says Crist campaign website ""has eliminated all references to our Republican Party.""",0.3
On a cap-and-trade plan.,1.0
"There hasnt really been a lot of net growth in the federal workforce when you compare it to say, 1990.",1.0
The American Conservative Union gives [Rep. Tim] Ryan a dismal 0.0 percent rating for the billions he has contributed to our national debt.,1.0
"The departments of Commerce, Education and Energy and the EPA saw their spending increase by between 130 percent and 219 percent between 2008 and 2010.",0.7
Says he hasnt changed his view on abortion restrictions.,0.2
Says the director of an anti-abortion group receiving a Texas grant to provide womens health services believes HIV can be spread through the sewer system.,0.9
Says Rick Perry of Texas was the governor who relied most on stimulus funds to close his states budget deficit in 2010.,1.0
Democrats are cutting our school funding. Four times in the last 10 years before we came into office.,0.7
Says President Barack Obama himself has granted waivers allowing into the United States refugees who provided material support to terrorists.,0.1
"In almost every other country in the world, artists and musicians are paid when their music is played on the radio. In fact, the only countries besides the U.S. who do not have a radio-performance right are China, Iran and North Korea.",1.0
One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests.,1.0
"Says Paul Ryan supports banning all abortions, even in cases of rape or incest.",0.9
"More than 1,000 American soldiers have lost their lives in Afghanistan in the last 27 months. This is more than the combined total of the nine years before.",0.8
Weve doubled the production of clean energy.,0.8
Most Americans support the legalization of marijuana.,1.0
"Under Barack Obama, the U.S. now has the lowest workforce since (President Jimmy) Carter.",0.1
A rural hospital in Missouri closes every 8 months. The legislatures failure to expand Medicaid has brought crisis to many of Missouris rural health care providers.,0.8
"Harambe received 15,000 votes in the presidential election.",0.3
The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.,0.4
Says Thom Tillis gives tax breaks to yacht and jet owners.,0.7
"During his time as House speaker, unemployment came down from 5.6 percent to under 4 (percent).",0.8
Obamacare was the Republican plan in the early 90s.,0.8
We had an amendment in the health care law that said the federal government is going to take over education.,0.0
"(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....Theyre down on the ground. Theyre sweating. Theyre twitching. Its ugly, cause I keep saying no.",0.3
"Says he turned down a Medicaid expansion under Obamacare, but because of actions he took, for the first time in Wisconsins history everyone living in poverty is covered under Medicaid.",0.6
Says Patrick Murphy switched his vote on All Aboard Florida ... because his father tried to get in a bid to build it and was unsuccessful.,0.2
Says U.S. Sen Sherrod Brown promised that the first stimulus bill would fund the Brent Spence Bridge.,0.9
"Tampa got more (federal housing) money because they scored higher on the blight scoring system, so theyve got a much bigger problem than we do.",0.2
"In nine Democratic debates, Weve not had one question about a womans right to make her own decisions about reproductive health care, not one question.",0.0
"The Manchin-Toomey amendment would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members to get government approval.",0.2
McCain Trying to Have it Both Ways on Iraq,0.7
The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined.,0.8
I've issued a six-month moratorium on deepwater drilling.,1.0
Toomey and Trump will ban abortion and punish women who have them.,0.3
Tuition at Rutgers has increased 10 percent since Gov. Chris Christie took office because he cut funding for higher education.,0.7
"The reason we even have colleges is that at some point there were politicians who said, You know what? We should start colleges.",0.1
Capital Metro originally said MetroRails yearly operating costs would be about $2.5 million. Last year ... it cost $13 million to operate.,1.0
Providence has more of its pension fund invested in hedge funds and is less transparent about it than the state.,1.0
Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.,1.0
"If the General Assembly does not address the states structural deficit, more than 23,000 education professionals will be immediately yanked out of Pennsylvania schools.",0.9
"Says he brought 1,200 jobs to Texas by moving his factories here from China.",0.8
U.S. Rep. Paul Broun has not authored any legislation that has been adopted by Congress.,0.9
On recess appointments.,1.0
"Four years as a congressman, he [U.S. Rep. Hank Johnson] never talked about MARTA.",0.0
Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.,1.0
Eighty percent of Wall Street executives and their spouses donations go to Democrats.,0.2
"Like me, Scott Walker opposed the 1998 transportation bill and the $9 billion of wasteful spending.",0.9
"Newspapers say Florida made bad investments, lost hundreds of millions of dollars, billions in pension funds lost. Who was in charge of Floridas investments? Alex Sink.",0.6
Says 80 percent of the health care dollars are spent by 20 percent of the population.,1.0
"Steve Southerland did not pay his taxes in 05, 06, 07, 08 or 09.",0.8
Eliminating Obamacare ... saves $95 billion a year.,0.3
There are 4.7 percent of Virginians who are minimum wage earners who are over 25 years of age working full-time and trying to raise a family.,0.8
Says broken compact fluorescent light bulbs allegedly cause migraines and epilepsy attacks.,0.3
At least a quarter of those apprehended at the border have criminal records.,0.3
Says Rick Scotts record on jobs includes Florida ranked 2nd in the nation in long-term unemployment.,0.7
Says President Obamas new immigration plan is amnesty.,0.5
"For the first time in over 40 years, Republicansdont hold a single statewide office in Virginia.",0.3
Polls show that Americans overwhelmingly support expanding background checks.,1.0
Nearly 20% of our residents are born abroad.,0.8
"When it comes to jobless workers, Mitt Romney says he likes to fire people.",0.7
A child born in America today will inherit $1.5 million in debt the moment theyre placed in their mothers arms.,0.6
Says the U.S. fleet of attack submarines is scheduled to fall below the 48 boats that Navy says it needs to carry out current missions.,1.0
Georgias share of money from the Federal Highway Trust Fund declined 12 percent between 2008 and 2013.,1.0
"Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs.",0.8
"If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background.",0.1
Says Hawaii Gov. Neil Abercrombie made a late-night visit to Kinkos to forge President Barack Obamas birth certificate two days before Obama unveiled it to the media.,0.2
"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.",1.0
"If you want to vote in Texas, you can use a concealed-weapon permit as a valid form of identification, but a valid student ID isnt good enough.",0.9
Says the cascading effects of climate change contributed to the rise of ISIS.,0.7
"Says state Rep. Sandy Pasch, her recall opponent, voted to allow public school employees to use taxpayer dollars to pick up the tab forViagra.",0.8
"Barack Obama ""rejects everyone white, including his mother and his grandparents.""",0.0
A company hired to do Common Core testing in Florida will attract every one of your children to become as homosexual as they possibly can.,0.0
The U.S. Supreme Court has not traditionally asked a lot of questions during oral arguments.,0.9
"Fracturing or horizontally fracturing the shale to open up larger pockets of natural gas ... has been used for over 60 years and, as of 2009, over 80,000 wells have been fracked in Ohio.",1.0
"In 2004, ""20 percent of U.S. households were getting about 75 percent of their income from the federal government. ... Another 20 percent were receiving almost 40 percent.""",1.0
We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest.,0.7
"In Europe, church attendance rates (are) in the single digits because churches are supported by taxes.",0.4
Says George LeMieux even compared Marco Rubio to Barack Obama.,1.0
Says Barack Obama promised to halve the deficit in his first term.,1.0
Says the government has gotten the TARP money back plus a profit.,1.0
Points of Light is the worlds largest volunteer organization.,1.0
Says Mark Pryorcut Medicare to pay for Obamacare.,0.7
Says Tim Kaine actually tried to raise taxes by about $4 billion.,0.8
Says Marco Rubio is proposing a new $1 trillion welfare program in tax credits and $1 trillion in new military spending.,1.0
I am the only senator who turned down the state pension plan for part-time legislators.,0.9
Female buffalo lead the herd.,1.0
There is no system to vet refugees from the Middle East.,0.1
"Says Chris Christies plan to kick-start our economy is to propose an income tax cut that disproportionately benefits the wealthy, and...hes still proposing it.",0.8
Obama used $20 million in federal money to emmigrate (sic) Hamas Refugees to the USA.,0.0
On offshore drilling.,1.0
"We came out of the White House not only dead broke, but in debt.",1.0
I think its seven or eight of the California system of universities dont even teach an American history course. Its not even available to be taught.,0.0
Sen. Bob Menendez voted to enact a new tax on the sale of homes of 3.8%.,0.3
Says his budget provides the highest state funding level in history for education.,1.0
Ive been here almost every day.,0.0
"In the early 1980s, Sen. Edward Kennedy secretly offered to help Soviet leaders counter the Reagan administrations position on nuclear disarmament.",0.2
Says an EPA permit languished under Strickland but his new EPA director got it done in two days.,0.9
Says the governor is going around the state talking about [how] we should fund an income tax cut that benefits higher income earners and not lower income earners,1.0
